Solving the file: X-n336-k84.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    335 clients
    335 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    21500    533s |  35   140575   139697 |  59   140002   139397
H   22000    544s |  58   140603   139664 |  41   139646   139002
    22500    555s |  35   140710   139664 |  48   139879   139397
    23000    566s |  54   140430   139664 |  43   140025   139507
    23500    577s |  33   140165   139664 |  50   140237   139507
    24000    589s |  64   140666   139664 |  40   140060   139507
    24500    601s |  39   140680   139664 |  47   139861   139397
    25000    612s |  45   140354   139664 |  48   139928   139507
    25500    624s |  37   140068   139664 |  39   139852   139507
    26000    635s |  57   140474   139664 |  26   139971   139507
    26500    646s |  60   140695   139664 |  41   140529   139571
    27000    658s |  65   141201   139664 |  29   140101   139453
    27500    669s |  56   140601   139664 |  59   140358   139507
    28000    681s |  61   140455   139664 |  52   140089   139507
    28500    691s |  33   140114   139664 |  60   140288   139507
    29000    702s |  50   141101   139664 |  49   140145   139395
    29500    713s |  57   140730   139664 |  47   140268   139505
H   30000    725s |  53   141166   139663 |  40   139958   139395
    30500    736s |  60   140802   139663 |  33   140359   139395
    31000    748s |  49   140549   139663 |  33   139877   139505
    31500    758s |  53   140597   139663 |  26   139657   139395
    32000    770s |  62   140279   139663 |  29   139777   139505
    32500    781s |  59   140500   139663 |  62   140821   139567
    33000    792s |  47   140099   139663 |  29   139840   139505
    33500    804s |  25   139879   139663 |  56   140698   139505
    34000    816s |  35   140614   139663 |  51   140581   139395
    34500    827s |  58   141117   139663 |  64   141278   139452
    35000    839s |  55   141067   139663 |  57   140562   139397
    35500    850s |  50   140349   139663 |  44   139641   138971
    36000    861s |  55   140759   139663 |  52   140160   139505
    36500    872s |  28   139763   139663 |  37   140500   139571
    37000    883s |  51   140555   139663 |  65   140428   139445
H   37500    896s |  53   140569   139653 |  60   140200   139452
    38000    907s |  36   140148   139653 |  26   139946   139529
    38500    919s |  29   140634   139653 |  55   140254   139447
    39000    931s |  49   140674   139653 |  36   139994   139431
    39500    942s |  65   140999   139653 |  51   140579   139310
H   40000    953s |  34   140360   139642 |  65   140566   139518
H   40500    965s |  35   140635   139639 |  58   140296   139450
    41000    976s |  58   140409   139639 |  25   139704   139431
    41500    987s |  31   140352   139639 |  65   140088   139307
    42000    999s |  57   140575   139639 |  64   140186   139408
    42500   1010s |  42   140116   139639 |  31   139632   139408
    43000   1022s |  58   140317   139639 |  60   140160   139412
    43500   1033s |  40   140878   139639 |  46   140097   139412
    44000   1044s |  47   140605   139639 |  54   139966   139396
    44500   1056s |  60   140939   139639 |  62   140162   139396
H   45000   1067s |  52   141028   139629 |  55   140554   139395
    45500   1079s |  49   140839   139629 |  41   140119   139395
    46000   1089s |  34   140188   139629 |  49   139749   139395
    46500   1100s |  40   140948   139629 |  45   140197   139293
    47000   1112s |  58   140940   139629 |  63   141133   139458
H   47500   1124s |  53   140960   139624 |  51   140131   139397
    48000   1135s |  34   140616   139624 |  52   139513   139232
    48500   1147s |  29   139985   139624 |  55   140297   139395
    49000   1158s |  55   140444   139624 |  36   140453   139459
    49500   1170s |  50   140539   139624 |  29   139777   139395
    50000   1181s |  47   140351   139624 |  36   140109   139395
H   50500   1193s |  31   140282   139612 |  61   139843   139269
    51000   1204s |  33   140739   139612 |  30   140202   139376
    51500   1218s |  55   140741   139612 |  34   139860   139396
    52000   1229s |  42   140518   139612 |  52   140228   139459
    52500   1242s |  27   140373   139612 |  41   140453   139341
    53000   1254s |  42   140610   139612 |  47   139750   139395
H   53500   1267s |  61   141959   139584 |  38   141351   139305
    54000   1281s |  30   140149   139584 |  61   140554   139425
    54500   1292s |  61   140617   139584 |  64   140513   139395
    55000   1305s |  53   140086   139584 |  29   139999   139459
    55500   1319s |  41   140587   139584 |  33   140134   139431
    56000   1331s |  38   140684   139584 |  45   140542   139409
    56500   1343s |  47   140357   139584 |  50   140404   139461
H   57000   1355s |  35   140204   139571 |  46   139935   139409
H   57500   1367s |  32   140003   139568 |  62   140300   139395
    58000   1378s |  61   140527   139568 |  51   140083   139395
    58500   1389s |  64   140388   139568 |  27   139631   139395
    59000   1401s |  42   140581   139568 |  37   141143   139497
    59500   1413s |  30   140083   139568 |  57   140629   139397
    60000   1425s |  49   140305   139568 |  54   140043   139396
    60500   1436s |  39   140045   139568 |  45   140457   139396
    61000   1449s |  55   140353   139568 |  61   140744   139396
    61500   1461s |  43   140133   139568 |  53   139943   139396
    62000   1473s |  26   139971   139568 |  36   141135   139471
    62500   1485s |  55   140483   139568 |  26   139929   139429
    63000   1497s |  41   140420   139568 |  50   140496   139418
    63500   1510s |  27   140575   139568 |  37   135380   132540
    64000   1523s |  65   140597   139568 |  30   140341   139514
    64500   1536s |  41   140775   139568 |  27   140159   139409
    65000   1547s |  65   140755   139568 |  33   139778   139164
    65500   1560s |  26   140133   139568 |  54   140542   139409
    66000   1573s |  59   140770   139568 |  48   140377   139407
    66500   1586s |  56   140658   139568 |  33   140192   139407
    67000   1598s |  28   140386   139568 |  62   140094   139283
    67500   1610s |  42   140629   139568 |  47   140492   139407
    68000   1623s |  36   140392   139568 |  45   139745   139395
    68500   1634s |  43   140468   139568 |  34   139540   139230
    69000   1647s |  55   141265   139568 |  25   139966   139285
    69500   1659s |  58   140688   139568 |  57   140150   139395
    70000   1673s |  41   140406   139568 |  39   139561   138981
    70500   1686s |  56   140668   139568 |  58   140026   139057
    71000   1698s |  48   140510   139568 |  52   140123   139396
    71500   1710s |  49   140680   139568 |  41   140082   139414
    72000   1722s |  49   140669   139568 |  56   140282   139396
    72500   1734s |  52   140415   139568 |  40   140356   139410
    73000   1746s |  26   140422   139568 |  29   139834   139410
    73500   1758s |  34   140360   139568 |  58   139502   139101
    74000   1770s |  32   140391   139568 |  53   140269   139397
    74500   1781s |  45   140438   139568 |  25   139755   139341
    75000   1792s |  32   140220   139568 |  40   139958   139397
    75500   1803s |  55   140118   139568 |  62   139850   139396
    76000   1818s |  41   140059   139568 |  51   140116   139431
    76500   1833s |  47   140615   139568 |  35   142434   139414
    77000   1846s |  50   140696   139568 |  53   139505   138989
R                 |        restart        |        restart
    77500   1861s |  44   143761   142518 |  39   143264   141519
    78000   1879s |  40   142824   141685 |  42   142594   141348
    78500   1895s |  55   142891   141675 |  25   141918   141255
    79000   1912s |  53   142464   141437 |  25   141908   141340
    79500   1928s |  63   142658   141146 |  62   143039   140952
    80000   1944s |  57   142274   140987 |  34   141560   140723
    80500   1959s |  35   141689   140987 |  51   142263   140747
    81000   1973s |  52   142177   140796 |  61   142321   140795
    81500   1988s |  42   142061   140790 |  48   142048   140729
    82000   2002s |  43   141508   140790 |  41   141549   140716
    82500   2017s |  33   141464   140553 |  28   141174   140434
    83000   2031s |  25   140902   140457 |  55   141581   140168
    83500   2045s |  30   140885   140424 |  38   140840   140083
    84000   2059s |  63   141928   140250 |  65   141761   140183
    84500   2073s |  26   140439   140250 |  39   141685   140097
    85000   2086s |  60   141523   140158 |  42   140717   139905
    85500   2099s |  27   140388   140158 |  41   140605   140014
    86000   2112s |  38   140887   140152 |  49   141144   139989
    86500   2126s |  61   141467   140152 |  59   141092   139856
    87000   2139s |  63   141265   140152 |  58   141210   139846
    87500   2152s |  50   140966   140149 |  31   140792   139846
    88000   2164s |  53   141026   140149 |  30   140414   139832
    88500   2176s |  52   140790   140149 |  32   140462   139832
    89000   2189s |  46   141574   140149 |  61   141759   139832
    89500   2201s |  42   141111   140149 |  48   140876   139788
    90000   2215s |  36   140795   140149 |  55   140798   139788
    90500   2227s |  61   141086   140149 |  51   141545   139884
    91000   2240s |  61   141428   140125 |  43   141219   139783
    91500   2252s |  59   141464   140116 |  35   140689   139680
    92000   2264s |  47   140714   140116 |  43   140100   139770
    92500   2274s |  43   140729   140116 |  50   140502   139754
    93000   2286s |  27   140524   140116 |  49   140722   139579
    93500   2298s |  36   140817   140109 |  57   140610   139707
    94000   2309s |  41   140664   140109 |  59   140381   139677
    94500   2320s |  32   140362   140109 |  45   140356   139677
    95000   2332s |  50   140772   140109 |  43   140559   139653
    95500   2344s |  59   141134   140109 |  41   140412   139607
    96000   2355s |  59   141120   140109 |  30   140211   139565
    96500   2368s |  29   140470   140107 |  25   139900   139649
    97000   2379s |  65   141014   140073 |  65   140442   139540
R                 |        restart        |        restart
    97500   2393s |  46   143585   142272 |  44   144064   141852
    98000   2409s |  36   142584   141686 |  65   143153   141523
    98500   2423s |  48   142807   141218 |  52   141705   140489
    99000   2438s |  53   142165   140996 |  46   142136   140469
    99500   2452s |  62   141901   140431 |  41   141104   140300
   100000   2466s |  58   141815   140431 |  40   141383   140209
   100500   2479s |  41   141471   140431 |  51   141542   140126
   101000   2493s |  32   141047   140431 |  49   141000   139976
   101500   2505s |  28   141343   140356 |  49   141130   139960
   102000   2519s |  25   140894   140276 |  38   141045   139960
   102500   2532s |  60   141338   140276 |  30   140992   139931
   103000   2546s |  59   141729   140035 |  63   141047   139721
   103500   2560s |  63   141628   140035 |  59   141712   139887
   104000   2574s |  65   141800   140015 |  48   140964   139719
   104500   2588s |  61   141216   139973 |  25   140258   139788
   105000   2601s |  46   140770   139949 |  29   140294   139828
   105500   2614s |  50   140806   139855 |  47   139933   139045
   106000   2628s |  63   140978   139817 |  50   141084   139750
   106500   2641s |  45   140701   139704 |  30   140554   139699
   107000   2654s |  44   140526   139702 |  55   140688   139668
   107500   2666s |  47   140534   139702 |  49   140222   139648
   108000   2678s |  47   140156   139702 |  46   140885   139710
   108500   2690s |  30   140044   139702 |  29   140031   139592
   109000   2702s |  56   140823   139693 |  57   140444   139573
   109500   2714s |  51   140163   139693 |  57   140268   139630
   110000   2727s |  65   140966   139674 |  31   140309   139654
   110500   2740s |  61   141294   139674 |  55   141192   139560
   111000   2752s |  28   140055   139644 |  48   140544   139512
   111500   2766s |  29   140450   139644 |  28   140627   139456
   112000   2780s |  65   140913   139616 |  37   140819   139479
   112500   2792s |  60   140822   139599 |  53   140598   139432
   113000   2803s |  44   140240   139599 |  33   139964   139466
   113500   2814s |  53   140658   139599 |  47   140347   139310
   114000   2825s |  33   140141   139599 |  37   140274   139427
   114500   2837s |  27   139877   139571 |  25   139500   139343
   115000   2848s |  63   140648   139571 |  46   140340   139343
   115500   2858s |  51   139943   139571 |  41   139850   139417
   116000   2869s |  49   140022   139571 |  39   140239   139417
H  116500   2881s |  37   140903   139497 |  59   139545   139100
   117000   2894s |  47   140627   139497 |  46   139687   139032
   117500   2907s |  29   140004   139497 |  47   140189   139343
   118000   2920s |  62   140807   139497 |  46   140176   139343
   118500   2932s |  26   139653   139497 |  63   140433   139226
   119000   2944s |  33   139801   139497 |  46   139839   139155
   119500   2956s |  31   140081   139497 |  63   140978   139365
   120000   2969s |  25   140222   139497 |  61   139992   139313
   120500   2980s |  56   140131   139497 |  28   139681   139313
   121000   2990s |  64   140762   139497 |  49   140309   139313
   121500   3001s |  48   140195   139497 |  35   139638   139313
   122000   3012s |  33   140011   139497 |  42   139904   139313
   122500   3023s |  25   140033   139497 |  48   139859   139313
   123000   3034s |  52   140191   139497 |  65   140303   139313
   123500   3045s |  61   140536   139497 |  49   139476   138923
   124000   3055s |  62   140323   139497 |  45   139756   139313
H  124500   3066s |  38   140564   139470 |  41   140280   139347
   125000   3077s |  62   140822   139470 |  62   140712   139266
H  125500   3089s |  26   139927   139468 |  54   140155   139154
   126000   3100s |  65   140334   139468 |  44   139769   139266
   126500   3110s |  37   139924   139468 |  48   140083   139347
   127000   3120s |  29   139760   139468 |  40   139909   139266
   127500   3131s |  31   140016   139468 |  48   139789   139266
   128000   3142s |  49   140369   139468 |  55   140280   139266
   128500   3152s |  42   140313   139468 |  46   140326   139266
   129000   3163s |  38   139903   139468 |  29   139605   139341
   129500   3174s |  28   140256   139468 |  48   140129   139266
   130000   3186s |  25   139994   139468 |  47   140046   139266
   130500   3196s |  36   140220   139468 |  39   139665   139266
   131000   3207s |  34   140291   139468 |  63   140241   139185
   131500   3218s |  48   140667   139468 |  33   140532   139252
H  132000   3229s |  48   140484   139437 |  26   139641   139181
   132500   3239s |  36   139652   139437 |  33   139380   139244
   133000   3250s |  37   140089   139437 |  25   139621   139244
   133500   3260s |  31   139786   139437 |  65   140495   139325
   134000   3271s |  44   139875   139437 |  64   139686   139244
   134500   3281s |  35   140090   139437 |  31   139723   139244
   135000   3292s |  64   140564   139437 |  31   139617   139244
   135500   3302s |  55   140261   139437 |  39   139585   139244
   136000   3313s |  27   140291   139437 |  55   140595   139320
H  136500   3323s |  49   140723   139426 |  33   139514   138926
   137000   3333s |  58   140495   139426 |  33   140118   139325
   137500   3344s |  54   140318   139426 |  59   140610   139325
   138000   3355s |  49   140457   139426 |  41   140097   139248
   138500   3366s |  50   140834   139426 |  45   139730   139120
   139000   3377s |  32   140410   139426 |  33   140044   139244
   139500   3389s |  65   140780   139426 |  62   140628   139318
   140000   3400s |  54   141051   139426 |  51   140409   139158
   140500   3412s |  37   140644   139426 |  59   140181   139244
   141000   3423s |  54   140630   139426 |  26   139477   139244
   141500   3434s |  34   140315   139426 |  63   140382   139244
   142000   3446s |  25   140083   139426 |  65   142251   139134
   142500   3457s |  30   140145   139426 |  27   139315   139244
   143000   3468s |  44   140690   139426 |  61   140253   139132
   143500   3479s |  56   140851   139426 |  28   139527   139244
   144000   3490s |  29   140477   139426 |  28   140319   139244
   144500   3501s |  58   140400   139426 |  64   140113   139244
   145000   3511s |  57   140380   139426 |  31   140201   139244
   145500   3522s |  62   140326   139426 |  29   139432   139244
   146000   3532s |  60   140614   139426 |  37   140032   139244
   146500   3542s |  60   140450   139426 |  39   139941   139244
   147000   3553s |  48   140182   139426 |  42   139685   139244
   147500   3564s |  29   139988   139426 |  34   139604   139244
   148000   3575s |  61   140938   139426 |  42   140094   139244
   148500   3585s |  27   140294   139426 |  50   139772   139244
   149000   3596s |  31   140329   139426 |  29   139659   139244

Search terminated in 3600.02s after 149173 iterations.
Best-found solution has cost 139426.

Solution results
================
    # routes: 86
   # clients: 335
   objective: 139426
    distance: 139426
    duration: 139426
# iterations: 149173
    run-time: 3600.02 seconds

Solving the file: X-n344-k43.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    343 clients
    343 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     14s |  47    48091    42826 |  40    42329    41678
     1000     36s |  39    43303    42826 |  48    43151    42780
H    1500     59s |  53    43592    42735 |  29    41940    41236
H    2000     79s |  53    43093    42696 |  65    42820    42490
H    2500    104s |  59    43772    42683 |  57    38179    36935
     3000    129s |  57    43411    42683 |  65    41551    40942
H    3500    140s |  49    42874    42626 |  53    42753    42515
H    4000    151s |  30    42791    42546 |  38    42648    42397
H    4500    165s |  33    42980    42487 |  53    37962    37132
     5000    192s |  48    43298    42487 |  61    44720    42685
H    5500    203s |  58    42723    42464 |  62    42514    42318
H    6000    230s |  28    42718    42458 |  53    40735    40178
H    6500    253s |  25    42754    42397 |  27    43581    42362
H    7000    269s |  54    42711    42370 |  43    42640    42275
H    7500    291s |  31    42772    42339 |  51    41127    40331
H    8000    310s |  28    42848    42308 |  39    41822    40519
H    8500    327s |  38    42605    42303 |  25    42383    42121
H    9000    347s |  32    42702    42301 |  51    42578    42226
H    9500    374s |  58    43227    42290 |  45    44238    42297
    10000    390s |  37    42671    42290 |  51    42459    42198
H   10500    411s |  64    43527    42283 |  56    41761    40586
H   11000    439s |  39    43001    42277 |  28    33825    30380
    11500    469s |  42    42992    42277 |  36    41030    40325
    12000    487s |  57    42618    42277 |  57    42454    42138
    12500    499s |  59    42494    42277 |  46    42625    42229
    13000    525s |  60    42577    42277 |  34    42593    42153
    13500    555s |  63    43488    42277 |  43    42261    40330
    14000    584s |  38    42770    42277 |  28    43124    42293
    14500    615s |  63    43604    42277 |  51    36337    35484
    15000    649s |  36    42983    42277 |  42    36502    35448
    15500    681s |  56    42840    42277 |  32    38196    26530
    16000    718s |  53    43373    42277 |  40    41069    40502
H   16500    743s |  61    42965    42269 |  63    42697    42210
    17000    771s |  65    43288    42269 |  55    41333    40653
    17500    797s |  27    42615    42269 |  53    42723    42229
    18000    810s |  25    42466    42269 |  48    40937    40403
    18500    832s |  62    43224    42269 |  30    43142    42208
    19000    850s |  58    43470    42269 |  38    36822    35676
    19500    869s |  62    42652    42269 |  60    42312    42158
H   20000    884s |  46    43243    42260 |  42    36618    35650
    20500    901s |  34    42898    42260 |  51    37087    30704
    21000    919s |  36    42543    42260 |  63    42416    42166
H   21500    940s |  55    42767    42252 |  61    34849    26020
    22000    969s |  34    43062    42252 |  53    36596    35525
    22500    998s |  45    43351    42252 |  55    37001    35746
    23000   1018s |  45    42485    42252 |  49    42815    42203
    23500   1051s |  46    42972    42252 |  54    44109    42217
    24000   1073s |  26    42480    42252 |  44    41180    40511
    24500   1097s |  35    42980    42252 |  34    36844    35558
    25000   1123s |  57    43195    42252 |  42    40819    40185
    25500   1147s |  62    43309    42252 |  50    40561    39921
    26000   1163s |  52    42702    42252 |  39    42318    42132
    26500   1186s |  65    42912    42252 |  27    42461    42174
    27000   1200s |  49    42671    42252 |  48    32658    26536
    27500   1228s |  33    42765    42252 |  56    40953    40289
    28000   1262s |  29    42696    42252 |  58    36360    35310
    28500   1289s |  41    43080    42252 |  25    40520    40181
    29000   1307s |  50    43467    42252 |  33    36693    35357
    29500   1340s |  34    42993    42252 |  37    41880    40944
    30000   1369s |  54    43482    42252 |  37    36786    35503
    30500   1395s |  40    42969    42252 |  45    40822    40029
    31000   1420s |  56    43556    42252 |  41    36412    35268
    31500   1448s |  29    42615    42252 |  47    42484    42225
H   32000   1468s |  41    42844    42250 |  27    42469    42231
    32500   1483s |  62    43564    42250 |  37    36751    35694
    33000   1518s |  40    43246    42250 |  45    35915    35203
    33500   1543s |  48    42586    42250 |  42    42322    42189
    34000   1564s |  27    42800    42250 |  35    36414    35454
    34500   1599s |  47    43407    42250 |  43    41568    40443
    35000   1614s |  34    42788    42250 |  29    42300    42107
    35500   1625s |  64    42455    42250 |  44    42347    42233
    36000   1652s |  41    43287    42250 |  32    36201    35501
H   36500   1669s |  60    42556    42247 |  55    42468    42202
    37000   1697s |  57    42755    42247 |  55    42631    42198
    37500   1716s |  55    43011    42247 |  45    42985    42183
    38000   1748s |  27    42510    42247 |  48    41095    40205
H   38500   1763s |  35    42777    42245 |  63    41028    40320
    39000   1791s |  56    43399    42245 |  25    37164    35574
H   39500   1803s |  36    42568    42243 |  49    42416    42201
H   40000   1827s |  45    43272    42241 |  41    37198    35607
    40500   1857s |  29    42681    42241 |  45    36235    35415
    41000   1871s |  48    42573    42241 |  46    42258    42099
    41500   1887s |  60    43484    42241 |  30    36592    35588
    42000   1913s |  30    42808    42241 |  33    37108    35685
    42500   1947s |  49    43202    42241 |  37    41226    40486
    43000   1974s |  61    43291    42241 |  34    40906    40434
    43500   1994s |  50    42452    42241 |  27    42323    42199
    44000   2011s |  52    42491    42241 |  61    42354    42149
    44500   2035s |  28    42513    42241 |  49    41283    40617
    45000   2057s |  34    42471    42241 |  54    42690    42135
    45500   2087s |  49    43203    42241 |  50    42016    40611
    46000   2100s |  39    42510    42241 |  29    42223    42098
    46500   2131s |  58    43063    42241 |  29    43023    42191
    47000   2154s |  48    42445    42241 |  55    42903    42201
    47500   2176s |  60    42461    42241 |  47    42529    42209
    48000   2208s |  58    42832    42241 |  51    44309    42224
    48500   2222s |  29    42343    42241 |  32    42223    42132
    49000   2240s |  29    42715    42241 |  61    36507    35453
    49500   2263s |  28    42505    42241 |  55    42384    42212
    50000   2290s |  30    42880    42241 |  46    36339    35517
    50500   2312s |  40    42651    42241 |  37    40487    31197
    51000   2338s |  33    42929    42241 |  38    37723    35816
    51500   2360s |  32    42896    42241 |  33    40934    40231
    52000   2376s |  59    43571    42241 |  48    36764    35720
    52500   2400s |  53    42458    42241 |  46    42556    42231
    53000   2425s |  61    42588    42241 |  40    42270    42148
    53500   2457s |  61    43559    42241 |  37    36299    35369
    54000   2470s |  40    42480    42241 |  58    42472    42210
    54500   2491s |  52    42499    42241 |  46    42327    42190
    55000   2500s |  65    42468    42241 |  62    42333    42203
    55500   2524s |  44    42614    42241 |  53    42358    42145
    56000   2543s |  45    43330    42241 |  40    36831    35705
    56500   2574s |  34    42844    42241 |  40    33196    30128
    57000   2595s |  38    43210    42241 |  29    37071    35594
    57500   2608s |  31    42513    42241 |  60    42377    42210
    58000   2629s |  61    43590    42241 |  47    36851    35660
    58500   2658s |  61    43463    42241 |  48    41145    40339
    59000   2687s |  40    43088    42241 |  43    41190    40436
    59500   2713s |  64    43409    42241 |  51    40953    40231
R                 |        restart        |        restart
    60000   2729s |  52    47675    42927 |  40    42345    41199
    60500   2743s |  28    50982    42897 |  29    43011    42857
    61000   2761s |  50    43187    42633 |  60    43286    42652
    61500   2787s |  33    43130    42547 |  57    41195    40436
    62000   2806s |  47    43041    42535 |  50    42658    42414
    62500   2820s |  31    42711    42458 |  59    42563    42267
    63000   2849s |  62    43403    42458 |  53    40919    40295
    63500   2872s |  58    43679    42412 |  40    36860    35644
    64000   2898s |  42    42725    42373 |  30    42808    42399
    64500   2924s |  58    42954    42373 |  34    42716    42394
    65000   2958s |  55    43515    42373 |  35    35878    35395
    65500   2983s |  44    43075    42373 |  43    40889    40330
    66000   3006s |  42    43125    42373 |  51    44042    42496
    66500   3032s |  39    43249    42316 |  32    36888    35629
    67000   3060s |  57    43519    42316 |  40    40731    40178
    67500   3083s |  58    43415    42306 |  29    40998    40391
    68000   3103s |  30    42417    42296 |  56    42619    42250
    68500   3130s |  61    43322    42296 |  55    25153    21523
    69000   3161s |  40    42912    42296 |  63    40875    40161
    69500   3184s |  43    42959    42296 |  30    40600    40012
    70000   3206s |  46    43138    42296 |  38    40283    39909
    70500   3228s |  44    43012    42296 |  46    40425    39827
    71000   3249s |  47    42999    42296 |  54    40447    39776
    71500   3279s |  37    42983    42296 |  62    36571    35473
    72000   3303s |  29    42470    42296 |  64    42592    42186
    72500   3336s |  34    42987    42286 |  62    41066    40275
    73000   3362s |  26    42612    42285 |  55    41898    40452
    73500   3385s |  64    43400    42285 |  63    40779    40209
    74000   3408s |  62    43347    42285 |  30    40369    40129
    74500   3424s |  62    42683    42284 |  49    42363    42152
    75000   3445s |  42    42672    42273 |  55    42397    42179
    75500   3462s |  60    43561    42272 |  47    37119    35483
    76000   3490s |  30    42732    42272 |  55    40843    40173
    76500   3519s |  40    43072    42272 |  41    36396    35489
    77000   3544s |  37    42693    42272 |  49    40780    40194
    77500   3572s |  48    43338    42271 |  29    36809    35564
    78000   3600s |  40    43058    42271 |  37    40758    40295

Search terminated in 3600.07s after 78007 iterations.
Best-found solution has cost 42241.

Solution results
================
    # routes: 43
   # clients: 343
   objective: 42241
    distance: 42241
    duration: 42241
# iterations: 78007
    run-time: 3600.07 seconds

Solving the file: X-n351-k40.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    350 clients
    350 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     22s |  54    29891    26758 |  64    27146    26389
H    1000     37s |  62    29302    26481 |  29    26556    26303
H    1500     50s |  38    30525    26407 |  63    26523    26113
H    2000     63s |  56    26595    26357 |  62    26471    26211
H    2500     75s |  58    26625    26317 |  47    26400    26183
H    3000     87s |  36    26421    26242 |  47    26291    26169
H    3500     98s |  35    26424    26210 |  50    26342    26166
H    4000    109s |  62    26433    26206 |  55    26280    26098
H    4500    120s |  62    26464    26187 |  40    26232    26025
     5000    131s |  51    26333    26187 |  49    26204    26042
H    5500    142s |  51    26442    26171 |  45    26174    25962
H    6000    154s |  46    26352    26117 |  61    26242    26054
H    6500    165s |  46    26288    26106 |  57    26282    26054
     7000    177s |  49    26241    26106 |  46    26215    25995
H    7500    190s |  56    26561    26074 |  40    26180    25959
H    8000    204s |  61    26316    26064 |  27    26269    26018
     8500    218s |  42    26419    26064 |  26    26395    25992
H    9000    234s |  61    26575    26057 |  41    24893    23438
H    9500    250s |  49    26360    26041 |  40    27808    26031
H   10000    261s |  55    26206    26040 |  35    26132    25995
    10500    270s |  42    26174    26040 |  26    26095    25981
H   11000    280s |  58    26210    26035 |  54    26106    25992
H   11500    292s |  47    26704    26025 |  56    27848    25992
    12000    305s |  27    26102    26025 |  46    26163    25989
    12500    315s |  55    26111    26025 |  34    26055    25989
    13000    328s |  51    26174    26025 |  34    26312    26007
    13500    343s |  40    26179    26025 |  57    26301    26024
    14000    358s |  47    26228    26025 |  31    26318    25982
    14500    373s |  65    26590    26025 |  60    26263    25971
    15000    386s |  29    26179    26025 |  31    26306    26001
    15500    399s |  26    26121    26025 |  34    26137    25969
    16000    412s |  43    26175    26025 |  50    26126    25989
    16500    423s |  43    26170    26025 |  29    26043    25961
    17000    435s |  25    26235    26025 |  30    26124    25975
    17500    450s |  46    26228    26025 |  61    26681    26035
    18000    463s |  40    26221    26025 |  33    26351    26024
H   18500    479s |  58    26229    26022 |  53    26179    25967
    19000    491s |  41    26140    26022 |  60    26284    25988
    19500    504s |  25    26268    26022 |  41    26405    25992
    20000    517s |  47    26161    26022 |  51    26182    25971
H   20500    534s |  42    26608    26016 |  33    26391    26005
    21000    551s |  35    26248    26016 |  37    26198    26033
